name,time,timestamp
Code.exe,126.44,2019-11-16 17:03:26
Code.exe,78.49,2019-11-16 17:05:19
chrome.exe,0.0,2019-11-16 17:05:29
Code.exe,62.27,2019-11-16 17:06:23
Code.exe,61.62,2019-11-16 17:07:24
chrome.exe,213.62,2019-11-16 17:23:50
Code.exe,35.65,2019-11-16 17:24:25
chrome.exe,116.05,2019-11-16 17:25:30
Code.exe,0.0,2019-11-16 17:25:39
chrome.exe,98.45,2019-11-16 17:26:18
Code.exe,18.78,2019-11-16 17:26:39
chrome.exe,0.0,2019-11-16 17:26:50
Code.exe,63.19,2019-11-16 17:27:49
chrome.exe,94.1,2019-11-16 17:28:40
chrome.exe,131.87,2019-11-16 17:32:01
chrome.exe,65.06,2019-11-16 17:33:04
chrome.exe,123.49,2019-11-16 17:34:04
chrome.exe,69.09,2019-11-16 17:34:14
