name,cpu,ram,counter,timestamp
System Idle Process,33986.4,0.0,238,2019-10-25
System,854.1,21.42,238,2019-10-25
Registry,0.0,53.91,238,2019-10-25
svchost.exe,710.1,2200.76,238,2019-10-25
SystemSettings.exe,0.0,33.32,238,2019-10-25
wuauclt.exe,0.6,6.76,238,2019-10-25
TrustedInstaller.exe,0.0,1.76,22,2019-10-25
smss.exe,0.0,0.0,238,2019-10-25
csrss.exe,30.4,21.08,238,2019-10-25
wininit.exe,0.0,2.38,238,2019-10-25
rundll32.exe,0.0,11.08,238,2019-10-25
winlogon.exe,0.0,11.95,238,2019-10-25
services.exe,15.9,21.42,238,2019-10-25
lsass.exe,23.1,42.34,238,2019-10-25
AvastBrowserCrashHandler64.exe,0.0,0.06,238,2019-10-25
conhost.exe,52.6,73.91,238,2019-10-25
python.exe,22893.1,577.98,238,2019-10-25
WUDFHost.exe,0.0,4.76,238,2019-10-25
fontdrvhost.exe,0.0,9.61,238,2019-10-25
aswidsagent.exe,91.5,112.21,238,2019-10-25
LockApp.exe,0.0,89.66,238,2019-10-25
wsc_proxy.exe,0.0,7.14,238,2019-10-25
dwm.exe,450.0,130.6,238,2019-10-25
AutodeskDesktopApp.exe,4.5,16.66,238,2019-10-25
WmiPrvSE.exe,0.0,16.72,38,2019-10-25
MicrosoftEdge.exe,0.0,135.66,238,2019-10-25
SkypeApp.exe,0.0,207.2,238,2019-10-25
igfxCUIService.exe,0.0,11.9,238,2019-10-25
taskhostw.exe,2.7,82.06,238,2019-10-25
NVDisplay.Container.exe,0.0,66.11,238,2019-10-25
RuntimeBroker.exe,8.4,519.53,238,2019-10-25
Memory Compression,126.9,970.38,238,2019-10-25
igfxEM.exe,0.0,18.57,238,2019-10-25
igfxHK.exe,0.0,7.05,238,2019-10-25
armsvc.exe,0.0,39.99,238,2019-10-25
bash.exe,0.0,67.76,238,2019-10-25
RtkAudioService64.exe,0.0,9.43,238,2019-10-25
RAVBg64.exe,21371.0,30.76,238,2019-10-25
AdAppMgrSvc.exe,1.0,33.8,238,2019-10-25
chrome.exe,1950.4,1971.49,238,2019-10-25
AdobeUpdateService.exe,0.0,4.76,238,2019-10-25
igfxTray.exe,0.4,13.72,238,2019-10-25
