name,cpu,ram,counter,timestamp
System Idle Process,5558.6,0.0,74,2019-10-24
System,425.4,6.66,74,2019-10-24
Registry,0.6,17.24,74,2019-10-24
svchost.exe,722.9,606.6,74,2019-10-24
SystemSettings.exe,0.0,10.36,74,2019-10-24
wuauclt.exe,0.0,1.48,74,2019-10-24
chrome.exe,1215.4,966.01,74,2019-10-24
smss.exe,0.0,0.0,74,2019-10-24
csrss.exe,18.8,6.66,74,2019-10-24
wininit.exe,0.0,0.74,74,2019-10-24
rundll32.exe,0.0,3.7,74,2019-10-24
winlogon.exe,0.0,3.7,74,2019-10-24
services.exe,5.1,5.18,74,2019-10-24
lsass.exe,15.8,12.58,74,2019-10-24
AvastBrowserCrashHandler64.exe,0.0,0.0,74,2019-10-24
WUDFHost.exe,0.0,0.74,74,2019-10-24
fontdrvhost.exe,0.0,2.96,74,2019-10-24
aswidsagent.exe,60.5,34.78,74,2019-10-24
LockApp.exe,0.0,23.68,74,2019-10-24
wsc_proxy.exe,0.0,2.22,74,2019-10-24
dwm.exe,229.8,33.9,74,2019-10-24
AutodeskDesktopApp.exe,0.0,4.44,74,2019-10-24
MicrosoftEdge.exe,0.0,42.18,74,2019-10-24
SkypeApp.exe,0.0,40.7,74,2019-10-24
igfxCUIService.exe,0.0,2.96,74,2019-10-24
taskhostw.exe,0.0,25.03,74,2019-10-24
NVDisplay.Container.exe,0.0,14.06,74,2019-10-24
RuntimeBroker.exe,0.0,147.45,74,2019-10-24
Memory Compression,7.2,447.64,74,2019-10-24
igfxEM.exe,0.0,3.7,74,2019-10-24
igfxHK.exe,0.0,1.48,74,2019-10-24
armsvc.exe,0.0,11.84,74,2019-10-24
WmiPrvSE.exe,1109.9,13.76,74,2019-10-24
RtkAudioService64.exe,0.0,2.83,74,2019-10-24
RAVBg64.exe,5777.5,8.88,74,2019-10-24
Spotify.exe,1536.6,326.06,74,2019-10-24
AdAppMgrSvc.exe,0.0,8.82,74,2019-10-24
AdobeUpdateService.exe,0.0,1.48,74,2019-10-24
igfxTray.exe,0.0,2.96,74,2019-10-24
AvastSvc.exe,81.5,247.44,74,2019-10-24
BtwRSupportService.exe,0.0,0.74,74,2019-10-24
Adobe Desktop Service.exe,9.0,20.36,74,2019-10-24
sqlbrowser.exe,0.0,0.74,74,2019-10-24
spoolsv.exe,0.0,6.66,74,2019-10-24
FNPLicensingService64.exe,0.4,2.22,74,2019-10-24
sqlwriter.exe,0.0,1.48,74,2019-10-24
SynTPEnhService.exe,0.0,0.74,74,2019-10-24
TeamViewer_Service.exe,1.2,4.44,74,2019-10-24
SecurityHealthService.exe,0.0,5.92,74,2019-10-24
jusched.exe,0.0,1.48,74,2019-10-24
ctfmon.exe,10.3,8.14,74,2019-10-24
sqlceip.exe,1.2,14.8,74,2019-10-24
AvastUI.exe,27.2,49.58,74,2019-10-24
SkypeBackgroundHost.exe,0.0,6.66,74,2019-10-24
unsecapp.exe,0.0,2.96,74,2019-10-24
SynTPEnh.exe,0.0,7.4,74,2019-10-24
sihost.exe,0.0,30.95,74,2019-10-24
OneDrive.exe,0.0,33.83,74,2019-10-24
netsession_win.exe,19.2,9.24,74,2019-10-24
SynTPHelper.exe,0.0,0.74,74,2019-10-24
explorer.exe,10.2,120.01,74,2019-10-24
dllhost.exe,0.0,23.26,74,2019-10-24
conhost.exe,304.0,31.82,74,2019-10-24
PresentationFontCache.exe,0.0,4.06,74,2019-10-24
Code.exe,598.0,852.8,74,2019-10-24
python.exe,6845.7,175.13,74,2019-10-24
AGSService.exe,0.0,8.88,74,2019-10-24
AdobeIPCBroker.exe,2.2,2.96,74,2019-10-24
EvernoteClipper.exe,0.4,1.48,74,2019-10-24
SearchUI.exe,0.0,61.42,74,2019-10-24
RtkNGUI64.exe,0.0,7.4,74,2019-10-24
AcWebBrowser.exe,0.4,27.38,74,2019-10-24
AppVShNotify.exe,0.0,12.58,74,2019-10-24
CCXProcess.exe,0.0,0.74,74,2019-10-24
bash.exe,0.0,19.98,74,2019-10-24
ApplicationFrameHost.exe,0.0,17.76,74,2019-10-24
AvastBrowserCrashHandler.exe,0.0,0.55,74,2019-10-24
SettingSyncHost.exe,0.0,1.22,74,2019-10-24
sedsvc.exe,0.0,10.0,74,2019-10-24
