name,cpu,ram,counter,timestamp
System Idle Process,6794.6,0.0,38,2019-11-12 21:34:04
System,231.1,0.0,38,2019-11-12 21:34:04
Registry,0.2,6.62,38,2019-11-12 21:34:04
conhost.exe,4.8,17.98,38,2019-11-12 21:34:04
svchost.exe,292.4,360.26,38,2019-11-12 21:34:04
wuauclt.exe,0.0,0.96,38,2019-11-12 21:34:04
smss.exe,0.0,0.0,38,2019-11-12 21:34:04
csrss.exe,6.9,3.8,38,2019-11-12 21:34:04
wininit.exe,0.0,0.38,38,2019-11-12 21:34:04
rundll32.exe,0.0,1.8,38,2019-11-12 21:34:04
winlogon.exe,0.0,1.9,38,2019-11-12 21:34:04
services.exe,1.0,2.74,38,2019-11-12 21:34:04
lsass.exe,2.4,6.85,38,2019-11-12 21:34:04
AvastBrowserCrashHandler64.exe,0.0,0.0,38,2019-11-12 21:34:04
WUDFHost.exe,0.0,0.58,38,2019-11-12 21:34:04
fontdrvhost.exe,0.0,1.14,38,2019-11-12 21:34:04
aswidsagent.exe,7.2,19.38,38,2019-11-12 21:34:04
LockApp.exe,0.0,11.78,38,2019-11-12 21:34:04
wsc_proxy.exe,0.0,1.14,38,2019-11-12 21:34:04
dwm.exe,93.6,21.36,38,2019-11-12 21:34:04
MicrosoftEdge.exe,0.0,17.48,38,2019-11-12 21:34:04
igfxCUIService.exe,0.0,1.52,38,2019-11-12 21:34:04
taskhostw.exe,0.6,14.03,38,2019-11-12 21:34:04
NVDisplay.Container.exe,0.0,13.89,38,2019-11-12 21:34:04
Memory Compression,41.7,112.36,38,2019-11-12 21:34:04
igfxEM.exe,0.0,2.14,38,2019-11-12 21:34:04
igfxHK.exe,0.0,2.15,38,2019-11-12 21:34:04
armsvc.exe,0.0,6.12,38,2019-11-12 21:34:04
RtkAudioService64.exe,0.0,1.47,38,2019-11-12 21:34:04
RAVBg64.exe,3680.8,5.12,38,2019-11-12 21:34:04
AdAppMgrSvc.exe,0.0,3.92,38,2019-11-12 21:34:04
AdobeUpdateService.exe,0.0,0.76,38,2019-11-12 21:34:04
igfxTray.exe,0.0,1.66,38,2019-11-12 21:34:04
AvastSvc.exe,17.9,203.17,38,2019-11-12 21:34:04
BtwRSupportService.exe,0.0,0.42,38,2019-11-12 21:34:04
Adobe Desktop Service.exe,1.0,10.34,38,2019-11-12 21:34:04
sqlbrowser.exe,0.0,0.38,38,2019-11-12 21:34:04
spoolsv.exe,0.0,3.92,38,2019-11-12 21:34:04
FNPLicensingService64.exe,0.0,1.14,38,2019-11-12 21:34:04
sqlwriter.exe,0.0,1.06,38,2019-11-12 21:34:04
SynTPEnhService.exe,0.0,0.63,38,2019-11-12 21:34:04
RuntimeBroker.exe,5.9,91.68,38,2019-11-12 21:34:04
TeamViewer_Service.exe,0.0,2.36,38,2019-11-12 21:34:04
SecurityHealthService.exe,0.0,3.49,38,2019-11-12 21:34:04
