name,cpu,ram,counter,timestamp
System Idle Process,34020.3,0.0,1134,2019-10-29
System,9419.7,0.0,1134,2019-10-29
Registry,17.5,233.32,1134,2019-10-29
svchost.exe,14071.7,10925.36,1134,2019-10-29
chrome.exe,50522.2,27099.13,1134,2019-10-29
wuauclt.exe,0.0,34.02,1134,2019-10-29
smss.exe,0.0,0.0,1134,2019-10-29
csrss.exe,104.1,114.36,1134,2019-10-29
wininit.exe,0.0,11.34,1134,2019-10-29
rundll32.exe,0.5,63.01,1134,2019-10-29
winlogon.exe,1.4,57.19,1134,2019-10-29
services.exe,46.6,98.12,1134,2019-10-29
lsass.exe,368.3,212.88,1134,2019-10-29
AvastBrowserCrashHandler64.exe,1.0,2.17,1134,2019-10-29
WUDFHost.exe,0.0,22.68,1134,2019-10-29
fontdrvhost.exe,1.2,87.59,1134,2019-10-29
aswidsagent.exe,2020.1,495.27,1134,2019-10-29
LockApp.exe,13.3,350.41,1134,2019-10-29
wsc_proxy.exe,1.1,34.02,1134,2019-10-29
dwm.exe,2100.4,890.28,1134,2019-10-29
AutodeskDesktopApp.exe,3.1,81.22,1134,2019-10-29
MicrosoftEdge.exe,0.0,158.76,1134,2019-10-29
SkypeApp.exe,98.8,718.43,1134,2019-10-29
igfxCUIService.exe,0.6,53.5,1134,2019-10-29
MusNotifyIcon.exe,0.0,54.63,433,2019-10-29
Taskmgr.exe,3993.6,564.87,916,2019-10-29
taskhostw.exe,10.9,397.9,1134,2019-10-29
NVDisplay.Container.exe,90.6,475.67,1134,2019-10-29
Memory Compression,1402.5,4754.66,1134,2019-10-29
igfxEM.exe,1.3,83.96,1134,2019-10-29
igfxHK.exe,0.0,68.04,1134,2019-10-29
armsvc.exe,0.0,191.32,1134,2019-10-29
RtkAudioService64.exe,4.2,45.36,1134,2019-10-29
RAVBg64.exe,83768.9,167.75,1134,2019-10-29
AdAppMgrSvc.exe,2.5,158.74,1134,2019-10-29
AdobeUpdateService.exe,3.4,22.68,1134,2019-10-29
igfxTray.exe,10.8,65.06,1134,2019-10-29
AvastSvc.exe,4227.5,927.88,1134,2019-10-29
RuntimeBroker.exe,544.8,2373.38,1134,2019-10-29
BtwRSupportService.exe,0.0,18.89,1134,2019-10-29
Adobe Desktop Service.exe,167.6,365.33,1134,2019-10-29
sqlbrowser.exe,2.4,14.14,1134,2019-10-29
spoolsv.exe,0.0,122.38,1134,2019-10-29
FNPLicensingService64.exe,5.5,34.02,1134,2019-10-29
sqlwriter.exe,0.0,34.02,1134,2019-10-29
SynTPEnhService.exe,0.0,22.68,1134,2019-10-29
TeamViewer_Service.exe,15.1,76.23,1134,2019-10-29
SecurityHealthService.exe,2.3,117.13,1134,2019-10-29
jusched.exe,0.0,147.42,1134,2019-10-29
ctfmon.exe,84.1,127.05,1134,2019-10-29
sqlceip.exe,27.6,240.32,1134,2019-10-29
AvastUI.exe,311.7,715.87,1134,2019-10-29
CodeHelper.exe,81.5,210.85,1134,2019-10-29
SkypeBackgroundHost.exe,0.0,106.02,1134,2019-10-29
unsecapp.exe,1.2,45.36,1134,2019-10-29
SynTPEnh.exe,373.5,156.67,1134,2019-10-29
sihost.exe,199.5,508.12,1134,2019-10-29
