name,cpu,ram,counter,timestamp
System Idle Process,34673.4,0.0,699,2019-11-04 21:16:56
System,4667.2,0.0,699,2019-11-04 21:16:56
Registry,5.8,171.81,699,2019-11-04 21:16:56
svchost.exe,3599.7,6574.89,699,2019-11-04 21:16:56
wuauclt.exe,0.0,17.06,699,2019-11-04 21:16:56
SearchProtocolHost.exe,204.3,95.22,671,2019-11-04 21:16:56
smss.exe,0.0,0.0,699,2019-11-04 21:16:56
csrss.exe,173.1,69.9,699,2019-11-04 21:16:56
wininit.exe,0.0,6.99,699,2019-11-04 21:16:56
rundll32.exe,1.3,38.01,699,2019-11-04 21:16:56
winlogon.exe,0.0,34.95,699,2019-11-04 21:16:56
services.exe,18.2,50.2,699,2019-11-04 21:16:56
lsass.exe,105.3,120.1,699,2019-11-04 21:16:56
AvastBrowserCrashHandler64.exe,0.0,0.42,699,2019-11-04 21:16:56
WUDFHost.exe,0.0,12.01,699,2019-11-04 21:16:56
Microsoft.Photos.exe,0.0,251.64,699,2019-11-04 21:16:56
fontdrvhost.exe,0.6,74.87,699,2019-11-04 21:16:56
aswidsagent.exe,332.3,321.56,699,2019-11-04 21:16:56
LockApp.exe,0.0,223.68,699,2019-11-04 21:16:56
wsc_proxy.exe,0.0,20.97,699,2019-11-04 21:16:56
dwm.exe,2615.8,369.76,699,2019-11-04 21:16:56
MicrosoftEdge.exe,2.6,497.95,699,2019-11-04 21:16:56
igfxCUIService.exe,0.0,27.96,699,2019-11-04 21:16:56
taskhostw.exe,2.6,239.06,699,2019-11-04 21:16:56
NVDisplay.Container.exe,0.0,243.02,699,2019-11-04 21:16:56
Memory Compression,428.6,3977.58,699,2019-11-04 21:16:56
igfxEM.exe,0.0,41.24,699,2019-11-04 21:16:56
igfxHK.exe,0.0,41.24,699,2019-11-04 21:16:56
armsvc.exe,0.0,113.11,699,2019-11-04 21:16:56
RtkAudioService64.exe,0.0,25.82,699,2019-11-04 21:16:56
RAVBg64.exe,56695.7,89.89,699,2019-11-04 21:16:56
AdAppMgrSvc.exe,0.8,102.05,699,2019-11-04 21:16:56
AdobeUpdateService.exe,0.0,13.98,699,2019-11-04 21:16:56
igfxTray.exe,0.0,29.8,699,2019-11-04 21:16:56
AvastSvc.exe,2059.4,1725.67,699,2019-11-04 21:16:56
BtwRSupportService.exe,0.0,12.01,699,2019-11-04 21:16:56
Adobe Desktop Service.exe,85.2,199.38,699,2019-11-04 21:16:56
sqlbrowser.exe,4.1,12.01,699,2019-11-04 21:16:56
spoolsv.exe,0.0,75.24,699,2019-11-04 21:16:56
FNPLicensingService64.exe,2.6,20.97,699,2019-11-04 21:16:56
sqlwriter.exe,0.0,19.26,699,2019-11-04 21:16:56
SynTPEnhService.exe,0.0,12.01,699,2019-11-04 21:16:56
RuntimeBroker.exe,154.0,1513.9,699,2019-11-04 21:16:56
TeamViewer_Service.exe,6.7,43.21,699,2019-11-04 21:16:56
SecurityHealthService.exe,0.0,60.27,699,2019-11-04 21:16:56
jusched.exe,0.0,90.17,699,2019-11-04 21:16:56
ctfmon.exe,134.4,80.45,699,2019-11-04 21:16:56
sqlceip.exe,17.5,145.56,699,2019-11-04 21:16:56
AvastUI.exe,194.1,454.35,699,2019-11-04 21:16:56
SkypeBackgroundHost.exe,0.0,68.63,699,2019-11-04 21:16:56
unsecapp.exe,0.4,27.96,699,2019-11-04 21:16:56
SynTPEnh.exe,336.9,78.94,699,2019-11-04 21:16:56
sihost.exe,29.8,304.6,699,2019-11-04 21:16:56
conhost.exe,142.1,358.84,699,2019-11-04 21:16:56
bash.exe,0.0,188.44,699,2019-11-04 21:16:56
netsession_win.exe,325.7,92.55,699,2019-11-04 21:16:56
Discord.exe,544.6,343.68,127,2019-11-04 14:33:58
SynTPHelper.exe,1.6,6.99,699,2019-11-04 21:16:56
explorer.exe,257.3,1235.24,699,2019-11-04 21:16:56
MicrosoftEdgeCP.exe,1.3,998.74,699,2019-11-04 21:16:56
dllhost.exe,0.0,249.17,699,2019-11-04 21:16:56
PresentationFontCache.exe,0.0,39.53,699,2019-11-04 21:16:56
AGSService.exe,0.0,109.87,699,2019-11-04 21:16:56
AdobeIPCBroker.exe,10.3,27.96,699,2019-11-04 21:16:56
EvernoteClipper.exe,7.2,19.13,699,2019-11-04 21:16:56
SearchUI.exe,109.4,621.51,699,2019-11-04 21:16:56
RtkNGUI64.exe,0.0,69.9,699,2019-11-04 21:16:56
java.exe,65.9,2623.65,699,2019-11-04 21:16:56
AppVShNotify.exe,0.0,118.83,699,2019-11-04 21:16:56
CCXProcess.exe,0.0,6.99,699,2019-11-04 21:16:56
Code.exe,5694.5,5109.3,699,2019-11-04 21:16:56
ApplicationFrameHost.exe,0.0,160.33,699,2019-11-04 21:16:56
SkypeApp.exe,0.0,496.29,699,2019-11-04 21:16:56
AvastBrowserCrashHandler.exe,0.0,0.78,699,2019-11-04 21:16:56
SettingSyncHost.exe,28.0,13.25,699,2019-11-04 21:16:56
FileCoAuth.exe,0.0,107.93,699,2019-11-04 21:16:56
sedsvc.exe,0.0,91.44,699,2019-11-04 21:16:56
SgrmBroker.exe,1.6,45.96,699,2019-11-04 21:16:56
CoreSync.exe,26.4,55.92,699,2019-11-04 21:16:56
node.exe,26.5,244.58,699,2019-11-04 21:16:56
POWERPNT.EXE,174.9,254.78,127,2019-11-04 14:33:58
GameBar.exe,1.7,181.74,699,2019-11-04 21:16:56
ShellExperienceHost.exe,0.0,454.35,699,2019-11-04 21:16:56
AGMService.exe,5.7,76.19,699,2019-11-04 21:16:56
Video.UI.exe,0.0,146.79,699,2019-11-04 21:16:56
SearchIndexer.exe,2245.3,534.86,699,2019-11-04 21:16:56
OpenWith.exe,0.0,231.94,699,2019-11-04 21:16:56
cmd.exe,2.4,47.12,699,2019-11-04 21:16:56
Visual Paradigm.exe,192.5,3560.69,699,2019-11-04 21:16:56
CodeHelper.exe,28.8,128.89,699,2019-11-04 21:16:56
OneDrive.exe,29.5,446.22,699,2019-11-04 21:16:56
jucheck.exe,2.5,113.11,699,2019-11-04 21:16:56
wlanext.exe,0.0,41.94,699,2019-11-04 21:16:56
python.exe,102224.3,2246.76,699,2019-11-04 21:16:56
browser_broker.exe,0.0,180.91,699,2019-11-04 21:16:56
OfficeClickToRun.exe,9.5,374.76,699,2019-11-04 21:16:56
SearchFilterHost.exe,86.3,70.1,680,2019-11-04 21:16:56
winpty-agent.exe,109.0,46.33,699,2019-11-04 21:16:56
splwow64.exe,0.0,17.78,127,2019-11-04 14:33:58
Microsoft.Python.LanguageServer.exe,757.1,4151.41,699,2019-11-04 21:16:56
MSOSYNC.EXE,2.4,60.7,127,2019-11-04 14:33:58
chrome.exe,13037.0,8966.98,690,2019-11-04 21:16:56
WmiPrvSE.exe,744.1,290.8,591,2019-11-04 21:16:56
WmiApSrv.exe,7.9,28.35,315,2019-11-04 20:52:54
smartscreen.exe,0.0,42.93,159,2019-11-04 21:16:56
Taskmgr.exe,142.4,12.1,20,2019-11-04 21:16:56
Spotify.exe,24335.7,2877.32,572,2019-11-04 21:16:56
audiodg.exe,8510.5,142.04,572,2019-11-04 21:16:56
GoogleUpdate.exe,0.0,3.77,552,2019-11-04 21:16:56
AvastBrowser.exe,399.8,108.12,24,2019-11-04 20:45:13
AvastNM.exe,0.0,0.12,2,2019-11-04 20:45:03
wermgr.exe,2.9,0.38,4,2019-11-04 20:55:55
