name,cpu,ram,counter,timestamp
System Idle Process,9963.9,0.0,127,2019-11-04 14:33:58
System,937.9,0.0,127,2019-11-04 14:33:58
Registry,0.7,38.97,127,2019-11-04 14:33:58
svchost.exe,1176.9,1285.43,127,2019-11-04 14:33:58
wuauclt.exe,0.0,3.81,127,2019-11-04 14:33:58
SearchProtocolHost.exe,30.4,18.29,122,2019-11-04 14:33:58
smss.exe,0.0,0.0,127,2019-11-04 14:33:58
csrss.exe,18.8,12.7,127,2019-11-04 14:33:58
wininit.exe,0.0,1.27,127,2019-11-04 14:33:58
rundll32.exe,0.0,7.62,127,2019-11-04 14:33:58
winlogon.exe,0.0,6.35,127,2019-11-04 14:33:58
services.exe,6.7,10.16,127,2019-11-04 14:33:58
lsass.exe,57.9,22.86,127,2019-11-04 14:33:58
AvastBrowserCrashHandler64.exe,0.0,0.0,127,2019-11-04 14:33:58
WUDFHost.exe,0.0,1.27,127,2019-11-04 14:33:58
Microsoft.Photos.exe,0.0,45.72,127,2019-11-04 14:33:58
fontdrvhost.exe,0.6,16.51,127,2019-11-04 14:33:58
aswidsagent.exe,98.3,58.42,127,2019-11-04 14:33:58
LockApp.exe,0.0,40.64,127,2019-11-04 14:33:58
wsc_proxy.exe,0.0,3.81,127,2019-11-04 14:33:58
dwm.exe,149.9,77.26,127,2019-11-04 14:33:58
MicrosoftEdge.exe,1.4,90.17,127,2019-11-04 14:33:58
igfxCUIService.exe,0.0,5.08,127,2019-11-04 14:33:58
taskhostw.exe,0.8,45.72,127,2019-11-04 14:33:58
NVDisplay.Container.exe,0.0,45.72,127,2019-11-04 14:33:58
Memory Compression,222.1,402.44,127,2019-11-04 14:33:58
igfxEM.exe,0.0,7.62,127,2019-11-04 14:33:58
igfxHK.exe,0.0,7.62,127,2019-11-04 14:33:58
armsvc.exe,0.0,21.59,127,2019-11-04 14:33:58
RtkAudioService64.exe,0.0,4.74,127,2019-11-04 14:33:58
RAVBg64.exe,11560.5,16.51,127,2019-11-04 14:33:58
AdAppMgrSvc.exe,0.8,19.05,127,2019-11-04 14:33:58
AdobeUpdateService.exe,0.0,2.54,127,2019-11-04 14:33:58
igfxTray.exe,0.0,6.35,127,2019-11-04 14:33:58
AvastSvc.exe,405.7,273.92,127,2019-11-04 14:33:58
BtwRSupportService.exe,0.0,1.27,127,2019-11-04 14:33:58
Adobe Desktop Service.exe,13.3,42.56,127,2019-11-04 14:33:58
sqlbrowser.exe,0.0,1.27,127,2019-11-04 14:33:58
spoolsv.exe,0.0,13.97,127,2019-11-04 14:33:58
FNPLicensingService64.exe,0.0,3.81,127,2019-11-04 14:33:58
sqlwriter.exe,0.0,3.81,127,2019-11-04 14:33:58
SynTPEnhService.exe,0.0,1.27,127,2019-11-04 14:33:58
RuntimeBroker.exe,3.4,299.65,127,2019-11-04 14:33:58
TeamViewer_Service.exe,0.8,8.89,127,2019-11-04 14:33:58
SecurityHealthService.exe,0.0,12.7,127,2019-11-04 14:33:58
jusched.exe,0.0,16.51,127,2019-11-04 14:33:58
ctfmon.exe,23.5,15.24,127,2019-11-04 14:33:58
sqlceip.exe,1.4,26.67,127,2019-11-04 14:33:58
AvastUI.exe,20.3,82.55,127,2019-11-04 14:33:58
SkypeBackgroundHost.exe,0.0,11.43,127,2019-11-04 14:33:58
unsecapp.exe,0.0,5.08,127,2019-11-04 14:33:58
SynTPEnh.exe,336.9,16.51,127,2019-11-04 14:33:58
sihost.exe,4.3,58.4,127,2019-11-04 14:33:58
conhost.exe,9.1,72.97,127,2019-11-04 14:33:58
bash.exe,0.0,36.83,127,2019-11-04 14:33:58
netsession_win.exe,96.9,16.51,127,2019-11-04 14:33:58
Discord.exe,544.6,343.68,127,2019-11-04 14:33:58
SynTPHelper.exe,1.6,1.27,127,2019-11-04 14:33:58
explorer.exe,108.7,264.86,127,2019-11-04 14:33:58
MicrosoftEdgeCP.exe,0.0,182.88,127,2019-11-04 14:33:58
dllhost.exe,0.0,48.4,127,2019-11-04 14:33:58
PresentationFontCache.exe,0.0,6.35,127,2019-11-04 14:33:58
AGSService.exe,0.0,19.05,127,2019-11-04 14:33:58
AdobeIPCBroker.exe,0.7,5.08,127,2019-11-04 14:33:58
EvernoteClipper.exe,0.0,2.54,127,2019-11-04 14:33:58
SearchUI.exe,0.0,110.49,127,2019-11-04 14:33:58
RtkNGUI64.exe,0.0,12.7,127,2019-11-04 14:33:58
java.exe,1.8,475.38,127,2019-11-04 14:33:58
AppVShNotify.exe,0.0,21.59,127,2019-11-04 14:33:58
CCXProcess.exe,0.0,1.27,127,2019-11-04 14:33:58
Code.exe,88.4,1003.69,127,2019-11-04 14:33:58
ApplicationFrameHost.exe,0.0,30.48,127,2019-11-04 14:33:58
SkypeApp.exe,0.0,90.17,127,2019-11-04 14:33:58
AvastBrowserCrashHandler.exe,0.0,0.0,127,2019-11-04 14:33:58
SettingSyncHost.exe,26.1,3.69,127,2019-11-04 14:33:58
FileCoAuth.exe,0.0,20.32,127,2019-11-04 14:33:58
sedsvc.exe,0.0,17.78,127,2019-11-04 14:33:58
SgrmBroker.exe,0.0,8.89,127,2019-11-04 14:33:58
CoreSync.exe,3.0,10.16,127,2019-11-04 14:33:58
