name,cpu,ram,counter,timestamp
CodeHelper.exe,0.0,2.83,17,2019-11-13 22:58:02
SearchIndexer.exe,0.6,12.58,17,2019-11-13 22:58:02
Setup.exe,0.0,2.21,17,2019-11-13 22:58:02
AdobeUpdateService.exe,0.4,2.04,17,2019-11-13 22:58:02
winpty-agent.exe,3.2,1.06,17,2019-11-13 22:58:02
Microsoft.Python.LanguageServer.exe,3.1,14.62,17,2019-11-13 22:58:02
Adobe Desktop Service.exe,14.8,24.56,17,2019-11-13 22:58:02
Adobe CEF Helper.exe,4.9,32.15,17,2019-11-13 22:58:02
SearchProtocolHost.exe,0.0,2.02,17,2019-11-13 22:58:02
CoreSync.exe,6.0,6.22,17,2019-11-13 22:58:02
audiodg.exe,243.5,5.62,17,2019-11-13 22:58:02
AvastBrowser.exe,0.0,1.04,1,2019-11-13 22:50:04
AvEmUpdate.exe,0.0,0.17,1,2019-11-13 22:50:04
smartscreen.exe,0.0,1.45,5,2019-11-13 22:55:02
