timestamp,netin,netout,diskin,diskout,cpu,ram
2019-11-14 18,4111.76,162794.33,4198663.42,2277488.88,515.9,582.8
2019-11-14 20,18545.36,743509.95,19353367.83,10500473.59,2431.7,2819.0
2019-11-14 21,13397.89,535110.95,14012598.44,7591861.11,1811.3,1925.2
2019-11-14 22,18696.32,745479.69,19549833.88,10598269.51,2352.7,2762.4
2019-11-14 18,4111.76,162794.33,4198663.42,2277488.88,515.9,582.8
2019-11-14 20,18545.36,743509.95,19353367.83,10500473.59,2431.7,2819.0
2019-11-14 21,2324.16,93022.04,2424963.19,1316502.54,316.5,344.5
